ID,:,",",;,.,[,],(,),*,+,-,=,#,$,@,?,&,!,|,^,<,>,\,_
2NakDPd4GWEwzuHhTx5o,70974,262488,909,70348,537,537,117,114,17,66386,2974,1516,0,14,3,680,0,0,9,0,2,3,52,1714
2nr0GTSxN4zKobZqwpy6,129914,1183,110276,129531,847,832,474,419,627,1302,3510,1886,474,582,493,1010,541,563,449,468,490,470,702,1789
2NYAUVgtXPpbJzRQO7Cl,2302877,2599,1039786,2302083,1540,14463,654,533,267,1936,5795,1652,84,7075,8321,3092,131,161,648,9522,347,301,475,4884
2O8w7LMDfCgRhnvNuetV,2855773,3440,1523841,2854473,1624,12695,743,601,401,2457,11086,3616,63323,12929,10326,2959,118,63336,586,11746,134,201,397,6176
2oMjFb1UfIym9ZgxDPqG,4315,489,1217,4162,21,22,58,57,4,179,5387,3528,17,15,1,579,2,5,9,0,2,1,0,464
2oyTpmYF4tSuBH9kXQc7,23243,3176,2413,21662,1614,1613,77,72,161,2682,22971,4835,0,0,4,496,0,4,8,1,6,6,50,4554
2OZkNTqAJ8X61eK4pjhR,14802,14901,3618,14029,1638,1624,144,176,72,4829,7185,3453,72,52,127,806,41,80,64,50,77,68,41,4656
2qSURceVYgQEhOFAdPXC,160015,1550,126850,160256,130,386,577,615,213,383,1031,856,262,276,304,915,269,451,503,132,385,320,328,1067
2qZrQoxyYDeadjIp3mSH,31606,5493,12813,29905,1998,1998,292,277,101,2634,27008,4610,36,73,131,340,42,33,45,91,154,157,114,3899
2r0UYLcKCxnRovpj5dlQ,67282,210568,10964,65859,705,705,191,191,82,49991,39868,583,0,152,1337,5283,40,2,8,0,93,109,0,2433
2SnRYbpqifxILdT4Wg9m,11394,618,2362,8187,78,78,53,52,4,782,5199,2160,0,1,2,546,0,0,8,0,2,1,0,4453
2SRWXLQomgJyliq3G6BM,267729,3445,229177,267499,1732,1727,1089,1059,1111,2435,8333,2040,1050,1053,1053,1528,1012,1053,1032,985,1052,1017,1061,2006
2WkGMV9mKJrBAOZL5zdI,71204,264862,1231,70368,694,694,192,191,45,65456,2640,1300,0,10,3,848,1,1,8,0,4,3,1,2339
2xlhAE5LO8RFfczB6ep3,4138,448,1225,3952,17,18,64,64,9,174,5145,3150,16,16,1,580,2,5,8,0,1,1,0,454
2YNFrzjaecyUInXCDVmt,266682,2706,228995,266433,1474,1443,1096,1051,1056,1810,5550,2078,1087,1009,1062,1556,1043,1020,982,981,1008,1027,1015,1671
2ZPDI3tv7UdhkfRWu54L,241362,135955,68384,217398,45974,45973,35790,35791,1092,60379,391292,89637,4,16,15601,5175,14,19,13,3,310,313,623,102706
2zUdQEyv5oKARaYGxhXk,121994,400872,6765,120514,1896,1901,2375,2344,364,102985,15146,4484,11,30,247,2690,24,10,22,13,71,69,10,6330
30htxi8FRcmfUkInewlS,104453,408,87722,360,374,374,392,395,408,392,496,461,348,404,364,390,418,362,395,345,394,475,360,392
32r6nRhN1UCwtFTfy8ZG,284645,1065,244184,1091,1002,1060,1097,1060,1057,1066,1191,1274,1085,977,1030,1091,1046,1047,1158,1062,1129,1250,1031,1043
32rcXoa5QI1EmxBFS9he,86380,3073,67016,84567,621,644,353,363,319,1258,106743,782,299,305,270,746,281,289,278,301,311,279,271,2237
35B8Vh0Q9k4STsiCtKx2,4077,433,1190,3907,13,14,63,63,8,175,4399,3420,15,16,2,579,1,5,8,0,2,1,0,463
36mPaSFkA7gVLnCbhqTt,14607,15017,3558,13893,1643,1643,158,191,94,4830,7621,3373,94,75,108,774,53,101,80,68,47,40,64,4619
37MUhjJKBdCYFZyvqHWu,55947,5538,19884,55124,1178,1163,115,76,19,1837,18451,2383,13,41,53,234,11,12,49,4,67,92,35,2617
37Og0blzE4WYpZ5c9LMN,3927,404,1174,3746,30,30,58,57,7,162,4373,2556,14,16,2,599,1,5,8,0,2,1,0,395
387RdPoyKxJIZr1YNcO6,79463,88895,5504,314,1463,1462,204,227,114,15221,133988,1020,19,6,39,1012,15,23,20,15,18,12,14,894
39gowdFUK2kGxcBnbALH,131740,45434,27556,101327,15533,15523,14055,14043,25684,21665,239592,60538,3,213,28355,8014,956,54,10,0,956,949,163,44876
39YX8jkenM2UHOvCRDq5,199210,10749,86126,196182,1446,1538,745,767,1121,3931,69631,7886,303,372,461,3585,303,402,397,398,354,456,638,14288
3afO9NUdwDyT6IlAm7gk,14334,32274,1206,13467,830,830,134,134,24,8327,2031,2122,0,25,3,688,0,0,8,0,2,2,36,2250
3b7cK2nPtTHIQ658wsYk,5040,873,1396,4831,175,176,58,57,5,368,4246,3317,2,1,3,544,3,1,8,0,2,5,3,516
3Bsqe5aIEWKZvOjXmox9,192121,111,168647,21,99,160,72,86,103,76,269,286,38,418,99,63,93,248,89,324,63,62,73,45
3Cb9mdkictPwsSOTKUIY,19547,2832,2364,4479,902,902,44,43,51,2259,7387,3336,3,8,25,1146,23,3,8,1,13,2,66,2658
3Ce9LP6ngx2uBtSyczRG,113801,3913,74993,113072,1507,1524,484,486,327,1428,18066,6905,342,396,370,2107,290,293,326,345,371,342,365,1869
3cG5wXTa8pRN7ObFtE4K,65292,271779,1405,64592,636,636,128,125,22,59029,2155,2188,0,5,9,792,0,0,8,0,5,2,3,2452
3cLxp0USf758FCdWIMeb,15707,15277,3999,14898,1668,1675,178,205,88,4795,8310,3664,89,69,123,791,51,104,71,59,63,61,65,4755
3eHwdBolFKi4PahtXSyg,3955,414,1178,3770,35,35,60,58,7,162,4897,2340,16,16,1,599,1,5,8,0,2,1,0,387
3FNOSAujbRIDnZqhmeMo,122574,43181,17241,119877,8377,8401,434,408,768,10210,31726,8110,65,72,303,2413,127,42,77,39,74,82,148,15349
3g7SToXfidhHqjZ5RJUb,152895,5850,125912,152388,1106,1110,283,254,222,2746,2505,1765,307,271,41,290,240,326,669,318,18,24,259,2921
3IZHa2xXVu6KrgNoPd9W,80177,88234,5678,314,1540,1541,207,217,112,14764,131407,1083,21,17,31,1004,8,27,25,9,13,17,11,834
3kpwYGsKyF8HlnjDm6aA,3841,983,561,3593,134,134,68,68,5,371,5345,2903,0,0,1,505,0,0,8,0,1,1,0,719
3LOYzcPQdE7yresjlXVm,75475,15559,11648,69308,8549,8553,461,456,144,14464,97058,81935,1,9,1147,2405,10,11,9,0,61,66,53,28354
3lVFreCQGTEnZyYs1Iiz,17279,16294,4819,16510,1655,1671,216,230,102,4558,13198,3832,87,80,123,789,44,114,82,59,53,64,65,4673
3MZriOFjTzUcpWfl4nah,180993,6196,82364,178412,1162,1211,712,709,550,2392,55591,7748,312,354,402,3437,356,371,386,340,335,377,547,10521
3nqel6RATDmiaQJwpZCz,396535,40716,336919,395769,1693,1747,1552,1305,1347,11221,3682,3418,1313,1263,1428,3756,1053,1229,1629,1018,5601,1428,1578,3849
3nxujXtip8hGHb6ZQdA4,82298,89421,6199,329,1702,1698,228,234,105,15015,134437,1371,12,21,29,1025,26,14,25,18,13,14,11,1002
3OX0rbks7LQmeDcKx8C4,88582,3344,70772,87355,990,984,325,326,366,1175,63715,2457,322,395,331,612,295,308,321,328,311,307,310,1975
3PUsV4jflnCw8mGHZIgK,22603,4304,5731,20458,2130,2129,224,221,176,2855,26445,11296,3,61,429,1400,17,6,10,4,132,135,135,6270
3RiBw0ntobeCh5VEQrY1,80084,6168,66505,79876,445,468,398,368,348,1804,3438,2251,275,284,338,886,327,273,315,302,305,278,298,775
3RrCi87ovZ1Qw6WuygGB,249739,475168,53273,244264,9733,9813,2908,2882,953,129497,96713,19600,147,202,636,3758,136,117,232,170,224,203,145,19599
3rsuE2CHA4WG16fQynUK,3774,990,573,3522,131,131,54,54,5,354,5278,2892,0,0,1,505,0,0,8,0,2,2,0,686
3TDhUPRqnKiQ8VpB6oCY,3600,922,691,3365,232,232,59,59,5,372,3231,2786,1,1,1,506,0,0,11,1,3,1,3,592
3vG9FbUS2P8Xcfsj4WLw,2881,761,412,2702,108,108,46,46,21,314,2622,2413,0,0,1,408,0,0,8,0,1,1,0,512
3Wi8BgsVyjH7oKbEPq9f,99030,29829,17262,96318,8377,8401,438,412,770,10219,31801,8110,65,72,303,2445,127,42,77,39,74,82,148,15373
3WPEFKHwX1DLBI4bzAM7,3586,922,696,3345,240,240,58,56,6,365,3019,2786,2,0,2,506,0,1,9,0,4,6,3,585
3X2nY7iQaPBIWDrAZqJe,430,72,156,356,13,13,25,25,3,35,382,618,0,0,1,145,0,0,8,0,1,1,0,85
3x9R8E6Gv5JhDda2eoq4,2831,668,442,2612,98,98,48,48,45,264,1400,1969,0,0,1,505,0,0,8,0,1,1,0,462
3xhmsIkdn7FPL4G9a0Qg,61309,13671,11177,55496,7914,7913,450,417,322,10855,90348,39688,3,13,705,2134,15,13,19,8,102,107,88,22476
3yitlJFLwPhTcNbUA2aS,791636,4036,681745,791212,3271,3354,3152,3157,3053,3577,7166,12541,3105,3048,2944,3560,3056,3136,3058,3044,3118,3116,2996,4230
3yPmbIvrqGOeWRSUnFTA,14753,14958,3594,13968,1648,1651,157,194,83,4821,7461,3489,84,71,114,781,49,94,72,64,64,58,67,4642
40dBpWDhOUzZ5yVAKJF3,36139,94022,1751,232,1370,1369,261,259,31,22964,42712,2487,1,10,35,621,0,1,9,2,1,1,2,1870
41o3zDTReYVFtpOB7EWl,87817,94257,6293,448,1987,1987,221,227,127,16461,147397,3436,18,16,46,1020,17,22,24,16,11,18,17,2317
41sxuO3ZpR5vAc0Kbjqe,11647,7201,5358,10562,311,324,438,437,74,2127,4881,3192,17,15,16,5033,21,19,24,20,15,17,12,2753
496EYbjny1LlaK3sr5Zu,16990,31989,1336,242,902,901,213,215,23,7723,25208,1883,2,1,17,746,0,1,12,1,2,1,2,1183
49epoGtYixcgnkfwJ2dv,524793,7098,390588,522662,5285,5199,1807,1921,1607,5357,46103,23299,1612,1555,3749,2122,1513,1746,1566,1468,1533,1520,1568,8474
49RfyxpQP1CzvneWIG5q,123945,390399,8830,122538,2000,2019,2672,2642,347,98949,25423,4491,29,34,255,2618,1380,25,21,296,73,67,10,6069
4augeM3l7UKbHc6ITnOL,3543,839,551,3234,129,129,56,56,6,366,3606,2957,0,0,1,505,0,0,8,0,1,1,0,621
4AuqM30HyOajgr8SleRL,267183,7087,229625,267064,1078,1102,1118,1157,974,2499,2399,2161,993,1039,956,1470,1028,1016,1022,1035,1065,1041,1036,1291
4bEmQThjKsiSPcFfzv1q,23180,5564,4893,20284,3309,3309,294,294,165,3831,38844,16797,0,1,124,1018,0,0,8,0,167,167,26,8670
4c3h7j0QyqIgnKFzA5vR,4097,402,1159,3920,28,28,57,56,3,160,4448,2589,16,18,1,599,1,5,9,0,2,2,1,397
4CLQnNRbyBDWOaIMFog7,1925025,3465,1375665,1923897,1427,7648,736,706,430,2141,266900,4051,31296,5605,6572,2049,199,34739,634,8414,79899,301,373,4662
4EB7To6p1z8FAQekCjZi,4065,419,1203,3899,12,13,61,60,7,174,4178,3474,14,16,1,579,2,5,8,0,1,2,0,447
4Eo8QvuZFWCBR6i0rhs7,4280,438,1205,4098,15,16,64,63,8,182,4853,3528,16,16,1,579,2,5,8,0,1,1,0,479
4f91UESFtRDrnLdyZOCN,499610,141407,99390,464611,64284,64278,1063,938,2771,117744,696280,150070,252,191,789,3740,300,273,133,117,227,661,9433,167655
4fYojiJ3XwcILTA6KlWu,3924,397,1180,3745,29,29,58,57,7,154,4602,2556,15,16,1,599,2,5,8,0,1,1,0,393
4GUJ7HBXO8I56WyRSMQd,291278,3385,248462,290591,1579,1472,1226,1176,1156,1805,24284,3146,1091,1313,1134,1531,1088,1132,1149,1095,1078,1117,1061,2202
4iD1ec9BR6Mghzm82yqs,1831746,2348,1336753,1830839,1570,21827,690,513,379,2686,5634,1623,390,14171,12550,3198,182,471,552,23085,332,330,651,4614
4InZfrkMYP8UQOaevoK0,2844,691,434,2623,99,99,47,47,46,278,1327,2129,0,0,1,505,0,0,8,0,1,1,0,478
4jVLlkxAIGvb3MBzDYHc,3595633,4361,1602615,3594247,1652,14984,881,740,515,2766,13065,3720,115,12183,11929,3163,169,97,332,10356,182,508,387,6332
4kuxDJlwWHMi5KX3SVQq,82338,90705,5614,305,1429,1432,217,218,100,15170,130653,1121,20,13,25,1010,11,12,22,21,15,19,19,880
4n5LKPoBHSyfNz6iWJeQ,2721,320,470,2447,112,112,28,28,4,190,2230,1349,0,0,1,232,0,1,8,0,1,1,3,832
4ng9zuri2Dtm5H8INwxF,1475169,12352,725481,1469829,3567,4002,3618,4176,3683,6281,105042,8667,2898,3099,3658,11223,3688,2803,3435,2898,3088,2748,3057,18259
4NnkJueQdl9yX7ITwZKY,3529,928,662,3300,230,228,54,56,7,342,2712,2731,2,1,3,508,0,2,9,1,1,2,1,568
4Nxt0uDWz8f6YpPqCTM5,1406093,13646,688054,1402795,3913,4522,4375,4359,3738,6594,73200,10415,2840,3762,3069,6736,2783,2728,3360,2969,3095,3051,2891,17258
4OfNIyw7BxlzSHWEi3mL,163931,6690,69531,162563,1478,1464,427,430,321,2881,32312,6422,278,315,312,1561,313,316,315,278,309,313,508,9663
